Ano,Nome da Exposição,Início,Fim,Edifício,Espaço Expositivo,Confirmado?
2019,Histórias feministas: artistas depois de 2000,2019-08-23,2019-11-17,Lina,1º Subsolo,TRUE
2019,Histórias feministas: artistas depois de 2000,2019-08-23,2019-10-27,Lina,2º Subsolo,TRUE
2019,Anna Bella Geiger: Brasil nativo/Brasil alienígena,2019-11-29,2020-03-01,Lina,2º Subsolo,TRUE
2019,Gego: a linha emancipada,2019-12-13,2020-03-01,Lina,1º Andar,TRUE
2019,"Leonor Antunes: vazios, intervalos e juntas",2019-12-13,2020-04-12,Lina,1º Subsolo - Aquário e mezanino,TRUE
2019,Acervo em transformação: MCA Chicago no MASP,2019-04-05,2019-12-30,Lina,2º Andar,TRUE
2019,Acervo em transformação: Mulheres à frente,2019-10-05,2019-03-10,Lina,2º Andar,TRUE
2019,Comodato MASP Landmann — Têxteis pré-colombianos,2019-06-14,2019-07-28,Lina,2º Subsolo,TRUE
2018,Aleijadinho: imagens de frestas,2018-03-10,2018-06-02,Lina,1º Andar,TRUE
2018,"Maria Auxiliadora: vida cotidiana, pintura e resistência",2018-03-10,2018-06-02,Lina,1º Subsolo - Aquário,TRUE
2018,Emanoel Araujo: a ancestralidade dos símbolos: África-Brasil,2018-04-06,2018-06-02,Lina,2º Subsolo,TRUE
2018,Comodato MASP B3,2018-06-14,2018-07-29,Lina,1º Subsolo -Mezanino,TRUE
2018,Histórias afro-atlânticas,2018-06-29,2018-10-21,Lina,"1º Andar, 1º Subsolo aquário e 2º Subsolo",TRUE
2018,Melvin Edwards: fragmentos de Lynch,2018-08-24,2018-11-15,Lina,1º Subsolo - MEzanino,TRUE
2018,Rubem Valentim: construções afro-atlânticas,2018-11-14,2019-03-10,Lina,1º Andar,TRUE
2018,Sonia Gomes: ainda assim me levanto,2018-11-14,2019-03-10,Lina,1º Subsolo -  aquário ,TRUE
2018,Pedro Figari: nostalgias africanas,2018-12-14,2019-02-10,Lina,2º Subsolo,TRUE
2018,Lucia Laguna: vizinhança,2018-12-14,2019-03-10,Lina,1º Subsolo - Mezanino,TRUE
2017,Avenida Paulista,2017-02-17,2017-05-28,Lina,"1º Andar, 2º Andar,  2º subsolo baianeira",TRUE
2017,Teresinha Soares: Quem tem medo de Teresinha Soares?,2017-04-27,2017-08-06,Lina,2º Subsolo,TRUE
2017,Wanda Pimentel: envolvimentos,2017-05-18,2017-09-17,Lina,1º Subsolo - Mezanino,TRUE
2017,Henri de Toulouse-Lautrec: Toulouse-Lautrec em vermelho,2017-06-30,2017-10-01,Lina,1º Andar,TRUE
2017,Miguel Rio Branco: Nada levarei quando morrer,2017-06-30,2017-10-01,Lina,1º Subsolo Aquário,TRUE
2017,Pedro Correia de Araújo: Erótica,2017-08-25,2017-11-18,Lina,2º Subsolo,TRUE
2017,"Guerrilla Girls: gráfica, 1985-2017",2017-09-29,2018-02-14,Lina,1º Subsolo - Mezanino,TRUE
2017,Histórias da sexualidade,2017-10-20,2018-02-14,Lina,1º Andar e 1º Subsolo - Aquário,TRUE
2017,Tunga: o corpo em obras,2017-12-15,2018-03-11,Lina,2º Subsolo,TRUE
2017,Acervo em transformação (cavaletes de cristal),Longa duração,Em cartaz,Lina,,FALSE
2016,A mão do povo brasileiro (exposição estendida),2016-09-02,2017-01-22,Lina,1º Andar,TRUE
2016,Jonathas de Andrade: convocatória para um mobiliário... (exposição estendida),2016-09-02,2017-01-29,Lina,Mezanino e 2º Subsolo expositivo (baianeira),TRUE
2016,Agostinho Batista de Freitas: São Paulo (exposição estendida),2016-12-10,2017-04-09,Lina,2º Subsolo ,TRUE
